"","NR","NR.adj","52T1.pvalue","52T2.pvalue","52T3.pvalue","52T4.pvalue","means","sign"
"9",5359,171.488,3.97880072699808e-11,3.83420206774394e-11,2.83149736333349e-11,2.58726379087852e-10,9.12928451671518e-11,"***"
"5",5109,163.488,7.18115406051905e-11,6.28720838393772e-11,4.61677531510111e-11,3.95566576613583e-10,1.4410448855229e-10,"***"
"6",4851,155.232,1.32585181881458e-10,1.05314516986899e-10,7.68965477432171e-11,6.16292497986649e-10,2.32772186149556e-10,"***"
"13",4851,155.232,1.32585181881458e-10,1.05314516986899e-10,7.68965477432171e-11,6.16292497986649e-10,2.32772186149556e-10,"***"
"4",4443,142.176,3.78732569484757e-10,2.56125808200549e-10,1.85307338399799e-10,1.32488962882985e-09,5.36263836228738e-10,"***"
"7",4258,136.256,6.29915718742333e-10,3.95120128518595e-10,2.84678349227588e-10,1.92588175161808e-09,8.08898987026649e-10,"***"
"11",2463,78.8160000000003,2.529527707048e-07,7.72726652593711e-08,5.39131909455473e-08,1.91162135294593e-07,1.43825190551078e-07,"***"
"3",1889,60.4480000000001,2.88999637936226e-06,7.38559019062041e-07,5.15071441665004e-07,1.41255768724396e-06,1.38904613183332e-06,"***"
"2",1073,34.336,0.000222468391233337,5.26195921431202e-05,3.78108063506645e-05,6.68696164464769e-05,9.49421015433996e-05,"***"
"10",1073,34.336,0.000222468391233337,5.26195921431202e-05,3.78108063506645e-05,6.68696164464769e-05,9.49421015433996e-05,"***"
"12",1035,33.12,0.000269893419668131,6.41937035804861e-05,4.62470650091479e-05,8.02840697605805e-05,0.000115154564504586,"***"
"1",883,28.256,0.000735904891877546,0.000182888816726907,0.000133841175782184,0.000211392837710642,0.00031600693052432,"***"
"8",883,28.256,0.000735904891877546,0.000182888816726907,0.000133841175782184,0.000211392837710642,0.00031600693052432,"***"
