"42M_lib74072_3832_1","42S_lib74073_3832_1","42T1","42T2_lib74075_3782_7","42T3_lib74076_3832_1","42T4_lib74077_3766_1"
"1_16862186",12,0.282476024411508,NA,0.551204819277109,0.675662168915542,0.982578397212543
"1_16893071",0,0.627096774193548,NA,0.413403614457831,0.979710144927536,0.764227642276423
"1_16908080",8.21052631578947,0.812903225806452,NA,0.389085754783841,0.734782608695652,0.711522287636669
"1_16953412",12,0.667124227865477,NA,0.440963855421687,0.773455377574371,1.37560975609756
"1_16969752",20.0571428571429,0.892210857592447,NA,0.760282509347736,0.874741200828157,2.54742547425474
"1_17302959",0.684210526315789,1.5110765643218,NA,1.84318225282081,1.72890025575448,2.04009921455147
"1_20809956",3.25,0.326612903225806,NA,0,0,0
"1_25679278",6.88235294117647,0.304415909802693,NA,0.137801204819277,0.296881862099253,0.387495705942975
"1_25679289",6.59154929577465,0.340813464235624,NA,0.197446502427621,0.311019093627789,0.513287222424463
"1_28224288",11.1428571428571,0,NA,0,0,0
"1_32740366",0,0.211857018308631,NA,0.928344958782499,0.727507533362032,0.565319077848313
"1_33478872",2.36363636363636,0.0330747243772969,NA,0,0.11133069828722,0.17339618774339
"1_33478900",2.78571428571429,0.0822961645923292,NA,0,0.209937888198758,0.27790096082779
"1_40798960",0,0.326612903225806,NA,0.236230636833046,0,0.404591104734577
"1_40798972",2.05263157894737,0.313548387096774,NA,0.224218909536451,0,0.382113821138211
"1_40799145",0,0.133995037220844,NA,0.254402224281742,0,0
"1_40799163",0,0.186635944700461,NA,0.389085754783841,0,0
"1_40799181",0,0.163306451612903,NA,0.440963855421687,0,0
"1_40799183",0,0.149308755760369,NA,0.426739214924213,0,0
"1_40799196",0,0.163306451612903,NA,0.508804448563485,0,0
"1_44058315",5.44186046511628,0.466589861751152,NA,0,0.299911268855368,0.143292682926829
"1_44317262",0,0,NA,0,0.0671034345840778,0
"1_47015453",10.7586206896552,0.209032258064516,NA,0.116043119847812,0.544283413848631,0.299045599151644
"1_84640834",46.8,3.42943548387097,NA,3.35132530120482,1.83695652173913,4.58536585365854
"1_89298290",0,0.121530382595649,NA,0.293975903614458,0,0.214939024390244
"1_89599106",0.787878787878788,0.0439143399295202,NA,0,0.153079710144928,0
"1_112320978",0,0.150744416873449,NA,0.720806302131603,0.449866903283052,0.515853658536585
"1_118065344",0,1.98220244716352,NA,2.24096385542169,2.31320450885668,2.78839815425181
"1_120110919",0,0,NA,0.440963855421687,0.139958592132505,0
"1_143767878",10.8333333333333,0.962648556876061,NA,0.56533827618165,0.773455377574371,0
"1_144816621",11.5555555555556,0.261290322580645,NA,0.904541241890639,1.07155797101449,0.312638580931264
"1_145297738",1.08333333333333,0.279953917050691,NA,0.0612449799196787,0.153079710144928,0
"1_149262640",0,1.00496277915633,NA,0.259390503189228,0.144075021312873,0.68780487804878
"1_150464268",4.21621621621622,0.544354838709677,NA,0.629948364888124,0.979710144927536,0.482670089858793
"1_154294464",1.90243902439024,0,NA,0.102549733818997,0,0.655052264808362
"1_154842330",0,0.217741935483871,NA,0.456169505608642,0.524844720496894,0.573170731707317
"1_160651059",0.866666666666667,1.93441454286224,NA,1.83536307391729,1.70088566827697,1.90540540540541
"1_161199494",0,0.483870967741935,NA,1.95983935742972,2.07817303469477,0.482670089858793
"1_163039274",1.38053097345133,1.69944925255704,NA,1.73865748709122,1.88405797101449,2.20900836745594
"1_181700483",0,0.275042444821732,NA,0.110240963855422,0.391884057971014,0.229268292682927
"1_202703066",2.81927710843373,1.85278592375367,NA,2.23138336478444,2.2122487143525,2.73558758314856
"1_203198889",6.5,0.825127334465195,NA,0.367469879518072,0.489855072463768,1.25055432372506
"1_228135520",16.7142857142857,0,NA,0,0,0
"1_247938491",0,2.28035190615836,NA,1.33314653964696,1.91682419659735,1.66740576496674
"1_248020756",0,0,NA,0,0,0
"1_248436857",0,0,NA,0,0,0.825365853658537
"1_248813126",3.62790697674419,0.160794044665012,NA,0.209982788296041,0.267193675889328,0.809182209469153
"2_42553086",4.33333333333333,0,0,NA,0.816425120772947,0
"2_44566504",1.77272727272727,0.307400379506641,0.272211720226843,NA,0.184850970741045,0.152845528455285
"2_62729979",5.03225806451613,0.442864953526517,0,NA,0.122463768115942,0
"2_65893962",18.3529411764706,0.275042444821732,0,NA,0,0
"2_65894015",22.2857142857143,0.373271889400922,0,NA,0,0
"2_87303124",0,0,0,NA,0,0.825365853658537
"2_96162251",6,0.127458693941778,0.139130434782609,NA,0.565217391304348,0
"2_99185276",2.51612903225806,0.418064516129032,0.160535117056856,NA,0,0
"2_112621498",26,0.237536656891496,0.139130434782609,NA,0.524844720496894,0.275121951219512
"2_116535069",3.54545454545455,0.104516129032258,0.659038901601831,NA,0.362855609232421,0
"2_119750595",0,1.49308755760369,0,NA,0.408212560386473,0
"2_138727872",12.3157894736842,0.486121530382596,0.333913043478261,NA,0.337831084457771,0.711522287636669
"2_152547485",0,0.100496277915633,0,NA,0.559834368530021,0
"2_160998367",2.16666666666667,1.3632538569425,0,NA,0,0.264540337711069
"2_170504696",0,0,0.362948960302457,NA,0,0.982578397212543
"2_176804220",1.69565217391304,0,0,NA,0.299911268855368,0.0838786436644854
"2_179481470",1.91803278688525,1.94860579551668,2.00745341614907,NA,1.88859786973983,1.90176463976621
"2_179530187",4.14893617021277,1.88317349607672,1.61739130434783,NA,1.99410029498525,2.18479196556671
"2_190575939",0,2.29935483870968,1.39130434782609,NA,1.63285024154589,1.85178236397749
"2_191155233",6,0.348387096774194,0.16695652173913,NA,0.42596093257719,1.71951219512195
"2_192546796",0,2.00992555831266,1.81767180925666,NA,1.8981884057971,1.65582655826558
"2_202146409",11.1428571428571,0.746543778801843,1.06393861892583,NA,0.765398550724638,1.20365853658537
"2_208447634",4.33333333333333,0.100496277915633,0.105668684645019,NA,0.163285024154589,0.750332594235033
"2_210555437",0,0.395894428152493,0,NA,0,0.86963835155593
"3_109414",NA,NA,NA,NA,NA,NA
"3_12558181",0,1.93765857194636,1.96622349982034,1.84784853700516,NA,1.23650315154837
"3_14615401",1.73333333333333,0.988666085440279,0,0,NA,0.731707317073171
"3_20141251",0,0.627096774193548,0.139130434782609,0.529156626506024,NA,0.655052264808362
"3_33093128",17.3333333333333,0.950146627565982,0.885375494071146,1.10240963855422,NA,1.03170731707317
"3_41973413",0,0.193548387096774,0,0,NA,0
"3_45133022",4.16,1.97300855826201,1.80237154150198,2.32962036826551,NA,2.23536585365854
"3_47382161",3.07086614173228,1.94292803970223,1.93367722918202,2.24590286612288,NA,1.49818884327457
"3_52550031",0,1.63306451612903,1.98757763975155,1.98433734939759,NA,1.89739276703112
"3_69242979",0,0,0.378260869565217,0,NA,0
"3_89260905",4.33333333333333,1.16129032258065,0.556521739130435,0.48995983935743,NA,0.529080675422139
"3_90271247",0,1.18002081165453,1.2703213610586,2.46939759036145,NA,0.312638580931264
"3_94225516",10.7586206896552,0.764752163650669,0,0.169601482854495,NA,0.327526132404181
"3_111312789",0,0.151472650771389,0,0.606325301204819,NA,0.441372114255902
"3_121151898",0,0,0,0,NA,0
"3_130651052",0,0,0,0,NA,0.221872541306058
"3_150336475",11.7,0.163306451612903,0,0,NA,0
"3_151167171",0,0.149308755760369,0,1.92921686746988,NA,1.71951219512195
"3_153420561",0,0.712609970674487,0,0,NA,0.809182209469153
